	id	abstract
10	35312909	Carbendazim (CBZ) is one of the most common fungicides used to fight plant fungal diseases, otherwise, it leaves residue on fruits, vegetables, and soil that contaminate the environment, water, animal, and human causing serious health problems. Several studies have reported the reproductive and endocrine pathological disorders induced by CBZ in several animal models, but little is known about its neurotoxicity. So that, the present study aimed to explain the possible mechanisms of CBZ induced neurotoxicity in rats. Sixty male Wistar rats were divided into 4 groups (n = 15). Group (1) received normal saline and was kept as the negative control group, whereas groups (2, 3, 4) received CBZ at 100, 300, 600 mg/kg b.wt respectively. All rats received the aforementioned materials daily via oral gavage. Brain tissue samples were collected at 7, 14, 28 days from the beginning of the experiment. CBZ induced oxidative stress damage manifested by increasing MDA levels and reducing the levels of TAC, GSH, CAT in some brain areas at 14 and 28 days. There were extensive neuropathological alterations in the cerebrum, hippocampus, and cerebellum with strong caspase-3, iNOS, Cox-2 protein expressions mainly in rats receiving 600 mg/kg CBZ at each time point. Moreover, upregulation of mRNA levels of NF-κB, TNF-α, IL-1B genes and downregulation of the transcript levels of both AchE and MAO genes were recorded in all CBZ receiving groups at 14 and 28 days especially those receiving 600 mg/kg CBZ. Our results concluded that CBZ induced dose- and time-dependent neurotoxicity via disturbance of oxidant/antioxidant balance and activation of NF-κB signaling pathway. We recommend reducing the uses of CBZ in agricultural and veterinary fields or finding other novel formulations to reduce its toxicity on non-target organisms and enhance its efficacy on the target organisms. 
11	35312732	The new coronavirus infection (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) can be fatal, and several variants of SARS-CoV-2 with mutations of the receptor-binding domain (RBD) have increased avidity for human cell receptors. A single missense mutation of U to G at nucleotide position 1355 (U1355G) in the spike (S) gene changes leucine to arginine (L452R) in the spike protein. This mutation has been observed in the India and California strains (B.1.617 and B.1.427/B.1.429, respectively). Control of COVID-19 requires rapid and reliable detection of SARS-CoV-2. Therefore, we established a reverse transcription loop-mediated isothermal amplification (RT-LAMP) assay plus a bioluminescent assay in real-time (BART) to detect SARS-CoV-2 and the L452R spike mutation. The specificity and sensitivity of the RT-LAMP-BART assay was evaluated using synthetic RNAs including target sequences and RNA-spiked clinical nasopharyngeal and saliva specimens as well as reference strains representing five viral and four bacterial pathogens. The novel RT-LAMP-BART assay to detect SARS-CoV-2 was highly specific compared to the conventional real-time RT-PCR. Within 25 min, the RT-LAMP-BART assay detected 80 copies of the target gene in a sample, whereas the conventional real-time RT-PCR method detected 5 copies per reaction within 130 min. Using RNA-spiked specimens, the sensitivity of the RT-LAMP-BART assay was slightly attenuated compared to purified RNA as a template. The results were identical to those of the conventional real-time RT-PCR method. Furthermore, using a peptide nucleic acid (PNA) probe, the RT-LAMP-BART method correctly identified the L452R spike mutation. This is the first report describes RT-LAMP-BART as a simple, inexpensive, rapid, and useful assay for detection of SARS-CoV-2, its variants of concern, and for screening of COVID-19. 
12	35312702	Cell-free transcription and translation systems promise to accelerate and simplify the engineering of proteins, biological circuits and metabolic pathways. Their encapsulation on microfluidic platforms can generate millions of cell-free reactions in picoliter volume droplets. However, current methods struggle to create DNA diversity between droplets while also reaching sufficient protein expression levels. In particular, efficient multi-gene expression has remained elusive. We here demonstrate that co-encapsulation of DNA-coated beads with a defined cell-free system allows high protein expression while also supporting genetic diversity between individual droplets. We optimize DNA loading on commercially available microbeads through direct binding as well as through the sequential coupling of up to three genes via a solid-phase Golden Gate assembly or BxB1 integrase-based recombineering. Encapsulation with an off-the-shelf microfluidics device allows for single or multiple protein expression from a single DNA-coated bead per 14 pL droplet. We envision that this approach will help to scale up and parallelize the rapid prototyping of more complex biological systems. 
13	35312700	"Sperm deliver the male complement of DNA to the ovum, and thus play a key role in sexual reproduction. Accordingly, spermatogenesis has outstanding significance in fields as disparate as infertility treatments and pest-control, making it a broadly interesting and important focus for molecular genetics research in a wide range of species. Here we investigate spermatogenesis in the model lepidopteran insect Bombyx mori (silkworm moth), with particular focus on the gene PMFBP1 (polyamine modulated factor 1 binding protein 1). In humans and mouse, PMFBP1 is essential for spermatogenesis, and mutations of this gene are associated with acephalic spermatozoa, which cause infertility. We identified a B. mori gene labeled as ""PMFBP1"" in GenBank's RefSeq database and sought to assess its role in spermatogenesis. Like in mammals, the silkworm version of this gene (BmPMFBP1) is specifically expressed in testes. We subsequently generated BmPMFBP1 mutants using a transgenic CRISPR/Cas9 system. Mutant males were sterile while the fertility of mutant females was comparable to wildtype females. In B. mori, spermatogenesis yields two types of sperm, the nucleated fertile eupyrene sperm, and anucleated unfertile apyrene sperm. Mutant males produced abnormal eupyrene sperm bundles but normal apyrene sperm bundles. For eupyrene sperm, nuclei were mislocated and disordered inside the bundles. We also found the BmPMFBP1 deficiency blocked the release of eupyrene sperm bundles from testes to ejaculatory seminalis. We found no obvious abnormalities in the production of apyrene sperm in mutant males, and double-matings with apyrene-deficient sex-lethal mutants rescued the ΔBmPMFBP1 infertility phenotype. These results indicate BmPMFBP1 functions only in eupyrene spermatogenesis, and highlight that distinct genes underlie the development of the two sperm morphs commonly found in Lepidoptera. Bioinformatic analyses suggest PMFBP1 may have evolved independently in lepidoptera and mammals, and that despite the shared name, are likely not homologous genes. "
14	35312693	The parasite Trypanosoma brucei grows as bloodstream forms in mammalian hosts, and as procyclic forms in tsetse flies. In trypanosomes, gene expression regulation depends heavily on post-transcriptional mechanisms. Both the RNA-binding protein RBP10 and glycosomal phosphoglycerate kinase PGKC are expressed only in mammalian-infective forms. RBP10 targets procyclic-specific mRNAs for destruction, while PGKC is required for bloodstream-form glycolysis. Developmental regulation of both is essential: expression of either RBP10 or PGKC in procyclic forms inhibits their proliferation. We show that the 3'-untranslated region of the RBP10 mRNA is extraordinarily long-7.3kb-and were able to identify six different sequences, scattered across the untranslated region, which can independently cause bloodstream-form-specific expression. The 3'-untranslated region of the PGKC mRNA, although much shorter, still contains two different regions, of 125 and 153nt, that independently gave developmental regulation. No short consensus sequences were identified that were enriched either within these regulatory regions, or when compared with other mRNAs with similar regulation, suggesting that more than one regulatory RNA-binding protein is important for repression of mRNAs in procyclic forms. We also identified regions, including an AU repeat, that increased expression in bloodstream forms, or suppressed it in both forms. Trypanosome mRNAs that encode RNA-binding proteins often have extremely extended 3'-untranslated regions. We suggest that one function of this might be to act as a fail-safe mechanism to ensure correct regulation even if mRNA processing or expression of trans regulators is defective. 
15	35312629	Oocyte activation deficiency (OAD) remains the predominant cause of total/low fertilization rate in assisted reproductive technology (ART). Phospholipase C zeta (PLCζ) is the dominant sperm-specific factor responsible for triggering oocyte activation in mammals. OAD has been linked to numerous PLCζ abnormalities in patients experiencing failed in-vitro fertilization (IVF) or intra-cytoplasmic sperm injection (ICSI) cycles. While significant efforts have enhanced our understanding of the clinical relevance of PLCζ, and the potential effects of genetic variants upon functionality, our ability to apply PLCζ in a diagnostic or therapeutic role remains limited. Artificial oocyte activation (AOA) is the only option for patients experiencing OAD but lacks a reliable diagnostic approach. Immunofluorescence analysis has revealed that the levels and localization patterns of PLCζ within sperm can help us to indirectly diagnose a patient's ability to induce oocyte activation. Screening of the gene encoding PLCζ protein is also critical if we are to fully determine the extent by which genetic factors might play a role in the aberrant expression and/or localization patterns observed in infertile patients. Collectively, these findings highlight the clinical potential of PLCζ, both as a prognostic indicator of OAD, and eventually as a therapeutic agent. In this review, we focus on our understanding of the association between OAD and PLCζ by discussing the localization and expression of this key protein in human sperm, the potential genetic causes of OAD, and the diagnostic tools that are currently available to us to identify PLCζ deficiency and select patients that would benefit from targeted therapy. 
16	35312240	Hyperproteinemia is a metabolic disorder associated with increased plasma protein concentration (PPC) and is often clinically complicated by malignant diseases or severe infections. At present, however, research on the molecular mechanism underlying high PPC (HPPC) is scant. Here, an animal model of primary hyperproteinemia was constructed in an invertebrate ( Bombyx mori) to investigate the effects of HPPC on circulating blood cells. Results showed that HPPC affected blood cell homeostasis, leading to increased reactive oxygen species levels, and induced programmed cell death dependent on the endoplasmic reticulum-calcium ion signaling pathway. HPPC induced the proliferation of blood cells, mainly granulocytes, by activating the Janus kinase/signal transducer and activator of transcription (JAK/STAT) signaling pathway. Supplementation with the endocrine hormone active substance 20E significantly reduced the impact of HPPC on blood cell homeostasis. Thus, we identified a novel signaling pathway by which HPPC affects blood cell homeostasis, which differs from hyperglycemia, hyperlipidemia, and hypercholesterolemia. In addition, we showed that down-regulation of gene expression of the hematopoietic factor Gcm could be used as a potential early detection indicator for hyperproteinemia. 
17	35312233	Cuticle is not only critical for protecting insects from noxious stimuli but also involved in a variety of metabolic activities. Cuticular proteins (CPs) affect cuticle structure and mechanical properties during insect growth, reproduction, and environmental adaptation. Here we describe the identification and characterization of a member of the RR-1 subfamily of CPs with an R&R consensus (CPR) in Tribolium castaneum (TcCPR69). Although it was previously reported to be highly expressed in the wings, we found that knocking down TcCPR69 by RNA interference (RNAi) did not cause obvious wings abnormalities but markedly disrupted the growth and metamorphosis of beetles with 100% cumulative mortality; additionally, the chitin content of the pharate adult was decreased and the new abdominal cuticle was significantly thinner before molting. TcCPR69 showed chitin-binding ability and the expression levels of key genes involved in chitin metabolism (trehalase [TcTRE], chitin synthase [TcCHSA and TcCHSB], and chitinase [TcCHT5 and TcCHT10]) were also decreased by TcCPR69 knockdown. TcCPR69 gene expression peaked shortly after molting and was increased 2.61 fold at 12 h after 20-hydroxyecdysone (20E) injection. This was reversed by RNAi of the ecdysone-related genes ecdysone receptor (TcECR) and fushi tarazu transcription factor 1 (TcFTZ-F1). These results indicate that TcCPR69 is positively regulated by 20E signaling to contribute to cuticle formation and maintain chitin accumulation during the growth and metamorphosis of beetle. This article is protected by copyright. All rights reserved. 
18	35312190	The key proteins involved in transcriptional regulation play convergent roles in cellular homeostasis, and their dysfunction mediates aberrant gene expressions that underline the hallmarks of tumorigenesis. As tumor progression is dependent on such abnormal regulation of transcription, it is important to discover novel chemical entities as antitumor drugs that target key tumor-associated proteins involved in transcriptional regulation. Despite most key proteins (especially transcription factors) involved in transcriptional regulation are historically recognized as undruggable targets, multiple targeting approaches at diverse levels of transcriptional regulation, such as epigenetic intervention, inhibition of DNA-binding of transcriptional factors, and inhibition of the protein-protein interactions (PPIs), have been established in preclinically or clinically studies. In addition, several new approaches have recently been described, such as targeting proteasomal degradation and eliciting synthetic lethality. This review will emphasize on accentuating these developing therapeutic approaches and provide a thorough conspectus of the drug development to target key proteins involved in transcriptional regulation and their impact on future oncotherapy. 
19	35312185	Nonalcoholic fatty liver disease (NAFLD) is the most common type of chronic liver disease in children. The mechanisms that drive NAFLD disease progression in this specific patient population remain poorly defined. In this study, we obtained liver biopsy samples from a multiethnic cohort of pediatric patients with NAFLD (n = 52, mean age = 13.6 years) and healthy liver controls (n = 5). We analyzed transcriptomic changes associated with NAFLD stages using high-throughput RNA sequencing. Unsupervised clustering as well as pairwise transcriptome comparison distinguished NAFLD from healthy livers. We identified perturbations in pathways including calcium and insulin/glucose signaling occurring early in NAFLD disease, before the presence of histopathologic evidence of advanced disease. Transcriptomic comparisons identified a 25-gene signature associated with the degree of liver fibrosis. We also identified expression of the insulin-like growth factor binding protein (IGFBP) gene family (1/2/3/7) as correlating with disease stages, and it has the potential to be used as a peripheral biomarker in NAFLD. Comparing our data set with publicly available adult and adolescent transcriptomic data, we identified similarities and differences in pathway enrichment and gene-expression profiles between adult and pediatric patients with NAFLD. Regulation of genes including interleukin-32, IGFBP1, IGFBP2, and IGFBP7 was consistently found in both NAFLD populations, whereas IGFBP3 was specific to pediatric NAFLD. Conclusion: This paper expands our knowledge on the molecular mechanisms underlying pediatric NAFLD. It identifies potential biomarkers and directs us toward new therapies in this population. 
20	35312165	The methylotrophic yeast Pichia pastoris is commonly used for the production of recombinant proteins at scale. The identification of an optimally overexpressing strain following transformation can be time and reagent consuming. Fluorescent reporters like GFP have been used to assist identification of superior producers, but their relatively big size, maturation requirements and narrow temperature range restrict their applications. Here, we introduce the use of iLOV, a flavin-based fluorescent protein, as a fluorescent marker to identify P. pastoris high-yielding strains easily and rapidly. The use of this fluorescent protein as a fusion partner is exemplified by the production of the antimicrobial peptide NI01, a difficult target to overexpress in its native form. iLOV fluorescence correlated well with protein expression level and copy number of the chromosomally integrated gene. An easy and simple medium-throughput plate-based screen directly following transformation is demonstrated for low complexity screening, while a high-throughput method using fluorescence-activated cell sorting (FACS) allowed for comprehensive library screening. Both codon optimization of the iLOV_NI01 fusion cassettes and different integration strategies into the P. pastoris genome were tested to produce and isolate a high-yielding strain. Checking the genetic stability, process reproducibility and following the purification of the active native peptide are eased by visualization of and efficient cleavage from the iLOV reporter. We show that this system can be used for expression and screening of several different antimicrobial peptides recombinantly produced in P. pastoris. 
21	35312143	Posttraumatic stress disorder (PTSD) is associated with inflammation and various forms of chronic disease. The Absent in Melanoma 2 (AIM2) gene has been implicated in mechanisms of inflammation and anxiety, and methylation at a particular locus in this gene (cg10636246) has previously been shown to influence the association between PTSD and elevated C-reactive protein levels in blood. We tested if this association might extend to other indicators of inflammation and to plasma-based measures of neuropathology in a cohort of post-9/11 US military veterans. Using a Bayesian approach, mediation models were tested cross-sectionally (n = 478) and longitudinally (n = 298). Peripheral markers of inflammation and neuropathology were measured with ultra-sensitive Single Molecule Array (Simoa®) technology. Analyses revealed indirect effects of PTSD symptom severity on peripheral indices of both inflammation (interleukin [IL]6, IL-10, tumor necrosis factor-α; indirect standardized [std.] ß range = 0.018-0.023, all p-values adjusted for multiple testing [padj ] < 0.05) and neuropathology (neurofilament light [NFL]; indirect std. ß = -0.018, padj  = 0.02) via AIM2 methylation. This indirect effect was also evident when predicting IL-10 at a follow-up assessment (indirect std. ß = -0.018, padj  = 0.04) controlling for baseline IL-10. Given that AIM2 methylation mediated the association between PTSD symptoms and multiple inflammatory and neuropathology markers, our results suggest that AIM2 methylation may offer clinical utility for indexing risk for adverse health outcomes associated with these peripheral indices of inflammation and neuropathology. Results also suggest a possible shared etiology underlying the frequent co-occurrence of inflammation and neuropathology. 
22	35312097	The mitochondrial genome (mitogenome) is extensively used to better understand the phylogenetic relationships within the family level, but there are still limited representations at the tribe level of Anthocoridae. Here we describe the first complete mitogenome of Dufouriellini. The mitogenome of Cardiastethus sp. is 15,209 bp in size, containing 13 typical protein-coding genes, 22 transfer RNAs, 2 ribosomal RNAs, and a control region. All genes are arranged in the same gene order as the most other known cimicomorphan mitogenomes. The phylogenetic relationships based on mitogenomes using Bayesian inference and maximum likelihood methods show that Dufouriellini is sister to Anthocorini, and then both of them together form sister group with Oriini. The monophyly of each superfamily of Cimicomorpha is generally well supported. Reduvioidea is basal within Cimicomorpha. The topology of the remaining superfamily is as follows: (Miroidea + (Cimicoidea + (Velocipedoidea + Nabioidea))). This study will help to enhance our understanding of mitochondrial genomic evolution and phylogenetic relationships in the tribe level of Anthocoridae and also superfamily level of Cimicomorpha. 
23	35312071	Domain of Unknown Function 506 proteins are ubiquitous in plants. The phosphorus (P) stress-inducible REPRESSOR OF EXCESSIVE ROOT HAIR GROWTH1 (AtRXR1) gene encodes the first characterized DUF506. AtRXR1 inhibits root hair elongation by interacting with RabD2c GTPase. However, functions of other P-responsive DUF506 genes are still missing. Here, we selected two additional P-inducible DUF506 genes for further investigation. Expression of both genes was induced by auxin. Under P-stress, At3g07350 gene expressed ubiquitously in seedlings, whereas At1g62420 (AtRXR3) expression was strongest in roots. AtRXR3 over-expressors and knockouts had shorter and longer root hairs, respectively. A functional AtRXR3-green fluorescent protein (GFP) fusion localized to root epidermal cells. Chromatin immunoprecipitation (ChIP) and quantitative reverse-transcriptase (qRT)-polymerase chain reaction (PCR), revealed that AtRXR3 was transcriptionally activated by RSL4. Bimolecular fluorescence complementation (BiFC) and calmodulin (CaM)-binding assays showed that AtRXR3 interacted with CaM in presence of Ca2+ . Moreover, [Ca2+ ]cyt oscillations in root hairs of rxr3 mutants exhibited elevated frequencies and dampened amplitudes compared to those of wild type. Thus, AtRXR3 is another DUF506 protein that attenuates P-limitation induced root hair growth through mechanisms that involve RSL4 and interaction with CaM to modulate tip-focused [Ca2+ ]cyt oscillations. This article is protected by copyright. All rights reserved. 
24	35311829	As a vertebrate, the zebrafish has been widely used in biological studies. Zebrafish and humans share high genetic homology, which allows its use as a model for human diseases. Gene function study is based on the detection of gene expression patterns. Although immunohistochemistry offers a powerful way to assay protein expression, the limited number of commercially available antibodies in zebrafish restricts the application of costaining. In situ hybridization is widely used in zebrafish embryos to detect mRNA expression. This protocol describes how to obtain images by combining in situ hybridization and immunohistochemistry for zebrafish embryo sections. In situ hybridization was performed prior to cryosectioning, followed by antibody staining. Immunohistochemistry and the imaging of a single cryosection were performed after in situ hybridization. The protocol is helpful to unravel the expression pattern of two genes, first by in situ transcript detection and then by immunohistochemistry against a protein in the same section. 
